ID,Mã Tài Sản (Asset Tag),Mã SpeedMaint,Tên Thiết Bị Y Tế,Model,Số Serial (S/N),Khoa / Phòng Ban,Mã Khoa,Nhóm Chuyên Khoa,Mức Rủi Ro (NĐ98),Hãng Sản Xuất,Xuất Xứ,Năm Sản Xuất,Trạng Thái Vận Hành,Ngày Đưa Vào SD,Ngày Kiểm Định,Hạn Kiểm Định,Số Giấy Chứng Nhận,Số Tem KĐ,Ghi Chú
268,BVQ7-TTB-00268,BM/BVQ7/00268,Máy thở chuyên dụng,TV-100,GEN-309305034130240857,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
269,BVQ7-TTB-00269,BM/BVQ7/00269,Máy thận nhân tạo,4008 S,GEN-565850913889830939,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
270,BVQ7-TTB-00270,BM/BVQ7/00270,Nồi hấp tiệt trùng,N/A,GEN-2670647919319830040,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
271,BVQ7-TTB-00271,BM/BVQ7/00271,Máy thở chuyên dụng,Astral 150,GEN-1473493607586568207,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
272,BVQ7-TTB-00272,BM/BVQ7/00272,Máy thở vận chuyển bệnh nhân,Astral 150,GEN-3619432750872748297,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Thiết bị y tế khác,Mức D,,,,IN_SERVICE,,,,,,
273,BVQ7-TTB-00273,BM/BVQ7/00273,Nhiệt kế điện tử y tế,N/A,GEN-8293916546455760762,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
274,BVQ7-TTB-00274,BM/BVQ7/00274,Nhiệt ẩm kế tự ghi,N/A,GEN-7498957111689306599,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
275,BVQ7-TTB-00275,BM/BVQ7/00275,Nhiệt ẩm kế tự ghi,N/A,GEN-162848565386123552,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
276,BVQ7-TTB-00276,BM/BVQ7/00276,Máy đo điện não (EEG),Arc Essentia EEG,GEN-3132547129551835573,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
277,BVQ7-TTB-00277,BM/BVQ7/00277,Dao mổ điện cao tần,ZEUS - 150,GEN-428915831638199158,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
278,BVQ7-TTB-00278,BM/BVQ7/00278,Máy ly tâm phòng xét nghiệm,N/A,GEN-8547848241350521415,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
279,BVQ7-TTB-00279,BM/BVQ7/00279,Nhiệt kế y tế,N/A,GEN-280472240330394146,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
280,BVQ7-TTB-00280,BM/BVQ7/00280,Nhiệt ẩm kế tự ghi,N/A,GEN-7673478456322732028,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
281,BVQ7-TTB-00281,BM/BVQ7/00281,Pipet,N/A,GEN-5288221136209520947,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
282,BVQ7-TTB-00282,BM/BVQ7/00282,Tủ an toàn sinh học,N/A,GEN-6428496184083278149,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
283,BVQ7-TTB-00283,BM/BVQ7/00283,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-7486313815992773564,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
284,BVQ7-TTB-00284,BM/BVQ7/00284,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-3768422764082010221,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
285,BVQ7-TTB-00285,BM/BVQ7/00285,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-5176330628131490298,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
286,BVQ7-TTB-00286,BM/BVQ7/00286,Cân các loại,N/A,GEN-4283256122420250146,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
287,BVQ7-TTB-00287,BM/BVQ7/00287,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8878665304666984314,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
288,BVQ7-TTB-00288,BM/BVQ7/00288,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-9207952911863152503,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
289,BVQ7-TTB-00289,BM/BVQ7/00289,Nhiệt ẩm kế tự ghi,N/A,GEN-4523465588245749080,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
290,BVQ7-TTB-00290,BM/BVQ7/00290,Nhiệt ẩm kế tự ghi,N/A,GEN-9017457857224829588,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
291,BVQ7-TTB-00291,BM/BVQ7/00291,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-255164305923342917,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
292,BVQ7-TTB-00292,BM/BVQ7/00292,Nhiệt kế điện tử y tế,MT 550,GEN-6690021081583238539,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
293,BVQ7-TTB-00293,BM/BVQ7/00293,Tủ an toàn sinh học,N/A,GEN-7424598159965164205,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
294,BVQ7-TTB-00294,BM/BVQ7/00294,Kết quả đo độ rung và tiếng ồn,N/A,GEN-754381156346270473,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
295,BVQ7-TTB-00295,BM/BVQ7/00295,Cân sức khỏe y tế,N/A,GEN-2959351605326051904,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
296,BVQ7-TTB-00296,BM/BVQ7/00296,Máy theo dõi bệnh nhân (Monitor),B125,GEN-7587802025882662933,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
297,BVQ7-TTB-00297,BM/BVQ7/00297,Máy điện tim (ECG),N/A,GEN-6994709975046315587,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
298,BVQ7-TTB-00298,BM/BVQ7/00298,Máy ly tâm phòng xét nghiệm,N/A,GEN-742894007416490703,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
299,BVQ7-TTB-00299,BM/BVQ7/00299,Cân sức khỏe y tế,N/A,GEN-2619996775608198458,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
300,BVQ7-TTB-00300,BM/BVQ7/00300,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8664173806091351606,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
301,BVQ7-TTB-00301,BM/BVQ7/00301,Nhiệt kế điện tử y tế,N/A,GEN-1207917620530650511,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
302,BVQ7-TTB-00302,BM/BVQ7/00302,Nhiệt ẩm kế tự ghi,N/A,GEN-205650998385418821,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
303,BVQ7-TTB-00303,BM/BVQ7/00303,Nhiệt ẩm kế tự ghi,N/A,GEN-5542880907667775620,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
304,BVQ7-TTB-00304,BM/BVQ7/00304,Máy điện tim (ECG),N/A,GEN-6388850243525194669,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
305,BVQ7-TTB-00305,BM/BVQ7/00305,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-4036632187820905756,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
306,BVQ7-TTB-00306,BM/BVQ7/00306,Máy thận nhân tạo,N/A,GEN-6952321986270097687,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
307,BVQ7-TTB-00307,BM/BVQ7/00307,Dao mổ điện cao tần,N/A,GEN-3175726763332589963,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
308,BVQ7-TTB-00308,BM/BVQ7/00308,Buồng đo thính lực,N/A,GEN-675212961547407911,Khoa Tai Mũi Họng,TMH,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
309,BVQ7-TTB-00309,BM/BVQ7/00309,bể ổn nhiệt T10,N/A,GEN-4265198995635858265,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
310,BVQ7-TTB-00310,BM/BVQ7/00310,Máy ly tâm phòng xét nghiệm,N/A,GEN-306489810991637402,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
311,BVQ7-TTB-00311,BM/BVQ7/00311,Nhiệt ẩm kế tự ghi,N/A,GEN-8841984103608419323,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
312,BVQ7-TTB-00312,BM/BVQ7/00312,Nhiệt ẩm kế tự ghi,N/A,GEN-3337507010787391644,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
313,BVQ7-TTB-00313,BM/BVQ7/00313,Nồi hấp tiệt trùng,N/A,GEN-6690278076533189172,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
314,BVQ7-TTB-00314,BM/BVQ7/00314,Nồi hấp tiệt trùng,N/A,GEN-3715441206334293167,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
315,BVQ7-TTB-00315,BM/BVQ7/00315,pipet T10,N/A,GEN-3394751941626478953,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
316,BVQ7-TTB-00316,BM/BVQ7/00316,Nhiệt ẩm kế tự ghi,N/A,GEN-141734055080864666,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
317,BVQ7-TTB-00317,BM/BVQ7/00317,Nhiệt ẩm kế tự ghi,N/A,GEN-8506523795462960213,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
318,BVQ7-TTB-00318,BM/BVQ7/00318,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-3052636533290713981,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
319,BVQ7-TTB-00319,BM/BVQ7/00319,Máy phá rung tim,N/A,GEN-7404180104554071771,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Thiết bị y tế khác,Mức D,,,,IN_SERVICE,,,,,,
320,BVQ7-TTB-00320,BM/BVQ7/00320,Dao mổ điện cao tần,ZEUS-150,GEN-3339805598784448740,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
321,BVQ7-TTB-00321,BM/BVQ7/00321,GIAY PHEP X QUANG PK TAM ANH Q7-XQDD-XQR,N/A,GEN-8573365585054180276,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
322,BVQ7-TTB-00322,BM/BVQ7/00322,Máy thận nhân tạo,4008S,GEN-3961002039425997007,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
324,BVQ7-TTB-00324,BM/BVQ7/00324,GP,N/A,GEN-8915685939473859968,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
325,BVQ7-TTB-00325,BM/BVQ7/00325,Máy thận nhân tạo,4008 S,GEN-6080610624012638572,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
327,BVQ7-TTB-00327,BM/BVQ7/00327,HỆ THỐNG ĐƯỜNG ỐNG DẪN KHÍ ÔXY Y TẾ,N/A,GEN-5080700597215832194,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
328,BVQ7-TTB-00328,BM/BVQ7/00328,Loãng xương - 513804MA,PRODIGY,GEN-7591955221393486461,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
329,BVQ7-TTB-00329,BM/BVQ7/00329,Loãng xương - 513847MA,PRODIGY,GEN-3776249533587364425,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
330,BVQ7-TTB-00330,BM/BVQ7/00330,Máy thận nhân tạo,N/A,GEN-7714258291293043232,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
331,BVQ7-TTB-00331,BM/BVQ7/00331,Nhiệt ẩm kế tự ghi,N/A,GEN-5679550631705159113,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
332,BVQ7-TTB-00332,BM/BVQ7/00332,Nhiệt ẩm kế tự ghi,N/A,GEN-9191006806364413218,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
333,BVQ7-TTB-00333,BM/BVQ7/00333,MỤC 10. Giấy hiệu chuẩn,N/A,GEN-3415919016314919860,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
334,BVQ7-TTB-00334,BM/BVQ7/00334,MỤC 10. Giấy hiệu chuẩn,N/A,GEN-3538828650852753809,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
335,BVQ7-TTB-00335,BM/BVQ7/00335,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6697362544598972404,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
336,BVQ7-TTB-00336,BM/BVQ7/00336,MỤC 11. Giấy kiểm đinh,N/A,GEN-7258713473367177513,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
337,BVQ7-TTB-00337,BM/BVQ7/00337,MỤC 12. Giấy hiệu chuẩn,N/A,GEN-8963443231021908331,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
338,BVQ7-TTB-00338,BM/BVQ7/00338,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6869918665764015246,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
339,BVQ7-TTB-00339,BM/BVQ7/00339,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-7425609605805721928,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
340,BVQ7-TTB-00340,BM/BVQ7/00340,Cân sức khỏe y tế,N/A,GEN-3919121081278318596,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
341,BVQ7-TTB-00341,BM/BVQ7/00341,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8729236906143704467,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
342,BVQ7-TTB-00342,BM/BVQ7/00342,Cân sức khỏe y tế,N/A,GEN-7959826142513677668,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
343,BVQ7-TTB-00343,BM/BVQ7/00343,Dao mổ điện cao tần,N/A,GEN-6869808769407519406,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
344,BVQ7-TTB-00344,BM/BVQ7/00344,Dao mổ điện cao tần,Zeus-150,GEN-3549412693922799074,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
345,BVQ7-TTB-00345,BM/BVQ7/00345,Máy phá rung tim,TEC-5631,GEN-4408014080587235381,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Thiết bị y tế khác,Mức D,,,,IN_SERVICE,,,,,,
346,BVQ7-TTB-00346,BM/BVQ7/00346,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-3583348328929100850,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
347,BVQ7-TTB-00347,BM/BVQ7/00347,Máy ly tâm phòng xét nghiệm,N/A,GEN-5889687569297051058,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
348,BVQ7-TTB-00348,BM/BVQ7/00348,Nồi hấp tiệt trùng,N/A,GEN-453698107545799699,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
349,BVQ7-TTB-00349,BM/BVQ7/00349,Máy thở chuyên dụng,TV - 100,TX2301031,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,Bio – Med Device,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-01-07,2027-01-06,023.01.26Y,07120,
350,BVQ7-TTB-00350,BM/BVQ7/00350,Máy thở chuyên dụng,TV - 100,GEN-5895729935076239136,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
351,BVQ7-TTB-00351,BM/BVQ7/00351,Máy thận nhân tạo,5008S,5VSA0Z25,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,Fresenius Medical Care,Giấy chứng nhận kiểm định an toàn và tính năng kỹ thuật,2026,IN_SERVICE,,2026-01-07,2027-01-06,0024.01.26Y,5VSA0Z25,
352,BVQ7-TTB-00352,BM/BVQ7/00352,Dao mổ điện cao tần,Zeus-150,A07COAT0477,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,Zerone,Hàn Quốc,2026,IN_SERVICE,,2026-02-07,2027-02-06,0084.02.26Y,00443,
353,BVQ7-TTB-00353,BM/BVQ7/00353,Dao mổ điện cao tần,Zeus-150,GEN-3421867520487950905,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
354,BVQ7-TTB-00354,BM/BVQ7/00354,DAO MỎ ĐIỆN CAO TÀN,Zeus-150,A07COAT0484,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,Zerone,Giấy chứng nhận kiểm định an toàn và tính năng kỹ thuật,2026,IN_SERVICE,,2026-02-07,2027-02-06,0085.02.26Y,A07COAT0484,
355,BVQ7-TTB-00355,BM/BVQ7/00355,Y-DAO MỎ ĐIỆN CAO TÀN-A07COAT0484-07-02,Zeus-150,GEN-6694718561701800805,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
356,BVQ7-TTB-00356,BM/BVQ7/00356,Dao mổ điện cao tần,VIO® 300S,1157011,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,Erbe,,2026,IN_SERVICE,,2026-02-07,2027-02-06,0086.02.26Y,00445,
357,BVQ7-TTB-00357,BM/BVQ7/00357,Dao mổ điện cao tần,N/A,GEN-7389417708199552497,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
358,BVQ7-TTB-00358,BM/BVQ7/00358,DAO MỎ ĐIỆN CAO TÀN,VIO® 300S,11557010,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,Erbe,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-02-07,2027-02-06,0087.02.26Y,11557010,
359,BVQ7-TTB-00359,BM/BVQ7/00359,Y-DAO MỎ ĐIỆN CAO TÀN-11557010-07-02,N/A,GEN-6155131736489574650,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
360,BVQ7-TTB-00360,BM/BVQ7/00360,DAO MỎ ĐIỆN CAO TÀN,VIO® 300D,11558120,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,Erbe,Giấy chứng nhận kiểm định an toàn và tính năng kỹ thuật,2026,IN_SERVICE,,2026-02-07,2027-02-06,0088.02.26Y,11558120,
361,BVQ7-TTB-00361,BM/BVQ7/00361,Y-DAO MỎ ĐIỆN CAO TÀN-11558120-07-02,N/A,GEN-7181853197291096107,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
362,BVQ7-TTB-00362,BM/BVQ7/00362,DAO MỎ ĐIỆN CAO TÀN,VIO® 300S,11557008,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,Erbe,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-02-07,2027-02-06,0089.02.26Y,00448,
363,BVQ7-TTB-00363,BM/BVQ7/00363,Y-DAO MỎ ĐIỆN CAO TÀN-11557008-07-02,N/A,GEN-7559504349147561170,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
364,BVQ7-TTB-00364,BM/BVQ7/00364,Máy phá rung tim,TEC-5631,16564,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,Nihon Kohden,Nhật Bản,2026,IN_SERVICE,,2026-02-05,2027-02-06,0090.02.26Y,00440,
365,BVQ7-TTB-00365,BM/BVQ7/00365,Máy phá rung tim,TEC-5631,GEN-7956337412746150615,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,,,,IN_SERVICE,,,,,,
366,BVQ7-TTB-00366,BM/BVQ7/00366,Máy phá rung tim,TEC-5631,10102,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,Nihon Kohden,Nhật Bản,2026,IN_SERVICE,,2026-02-05,2027-02-06,0091.02.26Y,00441,
367,BVQ7-TTB-00367,BM/BVQ7/00367,Máy phá rung tim,TEC-5631,GEN-3608675376715827659,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,,,,IN_SERVICE,,,,,,
368,BVQ7-TTB-00368,BM/BVQ7/00368,Máy thở chuyên dụng,Astral 150,22241721443,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,ResMed,Australia,2026,IN_SERVICE,,2026-02-07,2027-02-06,0092.02.26Y,00442,
369,BVQ7-TTB-00369,BM/BVQ7/00369,Máy thở chuyên dụng,Astral 150,GEN-7586604405664045957,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
370,BVQ7-TTB-00370,BM/BVQ7/00370,Máy thận nhân tạo,4008 S,4SXA5JRT,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,Fresenius Medical Care AG,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-02-07,2027-02-06,0093.02.26Y,00449,
371,BVQ7-TTB-00371,BM/BVQ7/00371,Máy thận nhân tạo,4008 S,GEN-8935461943816040557,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
372,BVQ7-TTB-00372,BM/BVQ7/00372,Máy thận nhân tạo,4008 S,4SXA5JRR,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,Fresenius Medical Care AG,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-02-07,2027-02-06,0094.02.26Y,00450,
